Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
942221fdfc274d9fdcb0f23f818d49ff;01/01/2021;31/01/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
b782d154d6dc815ec4773c38d8b055d3;01/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/DRS/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$7.223.920,00;;;0;0;0;0;0;0;0;0;0;0
048bc561e4298fd42343fcd5fa0384f7;01/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/DRS/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$12.142.167,00;;;0;0;0;0;0;0;0;0;0;0
6556c42b72148f79c4ff496821b7bbbd;01/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;Paraguai                                                                                                                        ;0;12;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
7bc04f7cc9c3d9883ff54b36784e5693;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
bfcf792df01544a6a78d747cb6278af3;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
ec81948532ea8be7088ba17caaa244f4;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
bdc70a27c8f07dd38b0b952db0d73543;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;DPF/DRS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
00be99fb807277ca299ecbd8a2db9da0;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;DPF/NVI/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
2bf5ef0db60314375f37635f8f003587;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;DPF/PPA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
a2956b0d80c9b1ef5fe8bc9ddf5eb4e6;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
cfc8e62fb3556624c35f6386cc084136;31/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;1;0;0;0;0;0;0;0
001c051f536279e94d0902528a70187d;31/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
377533335b14e2767f4cd93a75573062;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
f595665710db841ea95fe9697aa61b02;31/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/GRA/PR                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$75.002,00;;;0;0;0;0;0;0;0;0;0;0
8edda0ffdcc31b32b8e0cd18818f7fac;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PA;SR/PF/PA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
11787a1b33a098a68d5c4242652c81c4;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PA;DPF/SNM/PA                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
abe8e99896be25ac5f01d7bd3eb32850;31/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/SAG/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$394.509,00;;R$116.668,00;0;0;0;0;0;0;0;0;0;0
cae75ffe416737061f5cefcca96873fb;31/01/2021;31/01/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
585cdd3418b19c2bb1e125fa30821578;31/01/2021;31/01/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
a7215ae2b7ad02fcd68fa62060374681;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;BA;SR/PF/BA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
3f5edbc05f8e0879d31769c91cdfc77b;31/01/2021;31/01/2021;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RS;DPF/SMA/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$5.500,00;;;0;0;0;0;0;0;0;0;0;0
23c947e1c525293c569026ee89960600;31/01/2021;31/01/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
0b54f7ca405e998bbc3eb095629a66cf;31/01/2021;31/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;SP;DPF/STS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$80,00;;;0;0;0;0;0;0;0;0;0;0
3efaad48cea447d7bcbf83248ee04262;31/01/2021;31/01/2021;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;RR;SR/PF/RR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
ea2621147c2f3912a780587ee03c3889;09/02/2021;31/01/2021;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;AC;SR/PF/AC                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
318cd56c57eb85c4a28f7740422fe707;30/01/2021;30/01/2021;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
c5fe4e81780cbe804ff1b77889e5688f;30/01/2021;30/01/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;RS;DPF/PFO/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$89.360,00;;;0;0;0;0;0;0;0;0;0;0
7f683f95d99b6793941b293c50f09956;30/01/2021;30/01/2021;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;AC;DPF/CZS/AC                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
5a45d168e9f33ec49f8a2d18d15cba8a;30/01/2021;30/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/GRA/PR                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$218.248,00;;;0;0;0;0;0;0;0;0;0;0
e1ec26f93e25d73bdbac4d56da02d32e;30/01/2021;30/01/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/CAC/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$60.000,00;;;0;0;0;0;0;0;0;0;0;0
cbd507a4de445ba8936d42b9751b7b4e;30/01/2021;30/01/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
9fc5552fe0ab4c273cedde5bdc20bd00;30/01/2021;30/01/2021;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;RJ;SR/PF/RJ                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
