Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
842cf9f4d594dcc8ed6be7113a4b06d8;27/01/2021;28/02/2021;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;PR;DPF/FIG/PR                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
4a1832a5616b9499bb53de53b7e05c89;01/02/2021;28/02/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
972c8d1b5cba805c6f083972675a27e3;01/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;Bolívia                                                                                                                         ;0;9;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
990cf3bdc5f9fb596d34547a72a9ba85;01/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/NVI/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$16.562.104,00;;;0;0;0;0;0;0;0;0;0;0
b246cfdde30563f05fd205abbb5e67f0;01/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$3.400.766,00;;;0;0;0;0;0;0;0;0;0;0
ba7c76b3377564c295f8afdfa298ca38;01/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$39.050,00;;;0;0;0;0;0;0;0;0;0;0
3ddcd5fdf56ac329d86dcf471422fccf;01/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$14.900.910,00;;;0;0;0;0;0;0;0;0;0;0
b01a31a4e4e6da2ae9e4c16c4fe9ae5a;18/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;SP;DPF/STS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
1005dba1a5cb9055ca64f1bc9a183c24;27/02/2021;28/02/2021;Operacao Especial;Crimes Contra o Patrimônio                                                                                                      ;RJ;SR/PF/RJ                                                        ;Nao;                                                                                                                                ;0;1;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
ea457ca6a58a357dd6be0f4509caa3a2;28/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/LDA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
305e1fe1ba81a1f0d087e712ad2f9b77;28/02/2021;28/02/2021;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PA;SR/PF/PA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
38194ab665f4a1b8fa2884129b620db5;28/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/GRA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$124.716,00;;;0;0;0;0;0;0;0;0;0;0
b961ca6115d0164dccc055612948c04a;28/02/2021;28/02/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
154b1484f3122081761c5da647989b01;28/02/2021;28/02/2021;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
d62ef1746ee3589cea6d520ed78772a6;28/02/2021;28/02/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
895bbadee80b41e98a5e78ecf1ece53d;28/02/2021;28/02/2021;Operacao de Apoio;Crimes Contra Direitos Humanos                                                                                                  ;PI;SR/PF/PI                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
11527664e32eef1b3fdf689c0036afdb;28/02/2021;28/02/2021;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
c176feb20951f894c57bc86fb6356818;28/02/2021;28/02/2021;Operacao de Apoio;Crimes Contra Direitos Humanos                                                                                                  ;RJ;SR/PF/RJ                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
5d57c30555bb7c202b0d64e7b4c16258;28/02/2021;28/02/2021;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;SP;DPF/STS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;R$969,00;0;0;0;0;0;0;0;0;0;0
876b2423230ab1d0ffd032b43acf2bfa;28/02/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;DPF/JVE/SC                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$331.225,00;;R$150.424,00;0;0;0;0;0;0;0;0;0;0
958e9abf699fecae8cb012956d677257;23/03/2021;28/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;R$181.197,00;;;0;0;0;0;0;0;0;0;0;0
6fcb57361450a66f9aab87d86a03293f;27/01/2021;27/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/SAG/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$138.352,00;;R$32.848,00;0;0;0;0;0;0;0;0;0;0
65561c95e760b8d72f718fed5410431c;19/02/2021;27/02/2021;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/MOC/MG                                                      ;Nao;                                                                                                                                ;0;0;2;4;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
8ffce3d46f68ca02795dbffec64095f1;27/02/2021;27/02/2021;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
d15961dc9af441e7c69136c5c24bf5d3;27/02/2021;27/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;R$88.438,00;;;0;0;0;0;0;0;0;0;0;0
31ba749b10d56bb6accb55e66eb351ad;27/02/2021;27/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/MGA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$189.290,00;;;0;0;0;0;0;0;0;0;0;0
f85293fb0b53e52c1fbbef174632d419;27/02/2021;27/02/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;1;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
cdb09e834b4b48c5e23c97a444becdfd;27/02/2021;27/02/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;1;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
cbed4d1bbaf6267678a4a96f1b2bc44f;27/02/2021;27/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;RJ;DPF/NRI/RJ                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$0,00;;;0;0;0;0;0;0;0;0;0;0
f4313656efe1a999cc68d8320d3baf56;27/02/2021;27/02/2021;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/CAC/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$119.608,00;;;0;0;0;0;0;0;0;0;0;0
cfc8cca6326732b14712c6c8159bc25a;27/02/2021;27/02/2021;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;R$48.500,00;;;0;0;0;0;0;0;0;0;0;0
